"VAR","Factor","Xo","Xs","SD","SDperc","sense","goal"
"DTF_WAASB","FA1",0.22285880239013,0.398784581594049,0.175925779203919,78.9404669311413,"increase",100
"VegP_WAASB","FA1",0.232489269793711,0.392082472550482,0.159593202756771,68.6454058281393,"increase",100
"DTM_WAASB","FA1",0.215978931472269,0.407187091595683,0.191208160123414,88.5309316144871,"increase",100
"lodging_WAASB","FA1",0.18182852440903,0.346339193896031,0.164510669487001,90.475721574316,"increase",100
"YLD_WAASB","FA1",2.91875450078317,5.27464216848514,2.35588766770197,80.7155129720515,"increase",100
"PRT_WAASB","FA1",0.182734335229574,0.367214311451353,0.184479976221779,100.955288993725,"increase",100
"DTE_WAASB","FA1",0.114593002792893,0.174638021843038,0.0600450190501453,52.3985039109818,"increase",100
"RepP_WAASB","FA1",0.259848153933547,0.475580760365848,0.2157326064323,83.022566513007,"increase",100
"DTF_mean","FA2",52.2652129521456,53.4868449205178,1.22163196837224,2.33737107220969,"increase",100
"VegP_mean","FA2",38.4594838527759,39.4338295864649,0.97434573368902,2.53343424321254,"increase",100
"lodging_mean","FA3",3.07253500337382,2.52635558999663,-0.546179413377193,-17.7761819727833,"increase",0
"YLD_mean","FA3",961.438801631322,1035.73077015891,74.2919685275835,7.72716561902105,"increase",100
"DTM_mean","FA4",88.574290756305,89.6880145831314,1.11372382682639,1.25738949453243,"increase",100
"DTE_mean","FA4",13.8057290993697,14.053015334053,0.247286234683219,1.79118562231174,"increase",100
"RepP_mean","FA4",36.8143913119635,36.4649717459469,-0.349419566016593,-0.949138512316085,"increase",0
"PRT_mean","FA5",24.6698085741217,24.4377443254953,-0.232064248626472,-0.940681189029994,"increase",0
