"trait","env","H2_SpATS","H2_GIBD","delta_H2","BLUP_rho_Spearman"
"DS","Clavet.2024",0.537,0.847,-0.311,0.965
"DS","Clavet.2025",0.816,0.899,-0.083,0.973
"DS","Hunter.2024",0.914,0.963,-0.048,0.991
"DS","Hunter.2025",0,0.63,-0.63,0.801
"DTE","Clavet.2024",0,0.795,-0.795,0.534
"DTE","Clavet.2025",0.803,0.912,-0.109,0.963
"DTE","Hunter.2024",0.162,0.865,-0.703,0.883
"DTE","Hunter.2025",0,0.666,-0.666,0.988
"DTF","Clavet.2024",0.985,0.992,-0.008,0.997
"DTF","Clavet.2025",0.985,0.992,-0.007,0.995
"DTF","Hunter.2024",0.983,0.991,-0.009,0.999
"DTF","Hunter.2025",0.958,0.977,-0.019,0.998
"DTM","Clavet.2024",0.961,0.979,-0.019,0.993
"DTM","Clavet.2025",0,0.798,-0.798,0.59
"DTM","Hunter.2024",0.915,0.955,-0.04,0.984
"DTM","Hunter.2025",0.84,0.932,-0.092,0.979
"PRT","Clavet.2024",0.985,0.992,-0.007,0.998
"PRT","Clavet.2025",0.982,0.99,-0.008,0.998
"PRT","Hunter.2024",0.98,0.99,-0.009,0.997
"PRT","Hunter.2025",0.969,0.986,-0.017,0.995
"RepP","Clavet.2024",0.939,0.969,-0.029,0.994
"RepP","Clavet.2025",0,0.95,-0.95,0.956
"RepP","Hunter.2024",0.917,0.955,-0.037,0.986
"RepP","Hunter.2025",0.687,0.872,-0.185,0.975
"VegP","Clavet.2024",0.979,0.989,-0.01,0.998
"VegP","Clavet.2025",0.982,0.991,-0.008,0.994
"VegP","Hunter.2024",0.979,0.989,-0.01,0.993
"VegP","Hunter.2025",0.955,0.975,-0.02,0.998
"YLD","Clavet.2024",0.973,0.985,-0.013,0.996
"YLD","Clavet.2025",0.943,0.97,-0.026,0.99
"YLD","Hunter.2024",0.949,0.965,-0.017,0.984
"YLD","Hunter.2025",0.951,0.976,-0.025,0.993
"lodging","Clavet.2024",0.982,0.991,-0.009,0.999
"lodging","Clavet.2025",0.951,0.972,-0.021,0.989
"lodging","Hunter.2024",0.952,0.977,-0.025,0.995
"lodging","Hunter.2025",0.943,0.972,-0.029,0.997
