"genotype","MGIDI","dev_year.x","dev_year.y"
"L084",8.110343501,2013,2013
"L012",8.319398638,2023,2023
"L007",8.332114498,2023,2023
"L004",8.371232301,2026,2026
"L030",8.413048498,2025,2025
"L020",8.448789465,2025,2025
"L006",8.453323852,2023,2023
"L026",8.511706805,2025,2025
"L049",8.51994664,2026,2026
"L013",8.540775454,2024,2024
"L068",8.561296887,2019,2019
"L093",8.571317418,2018,2018
"L097",8.59083668,2019,2019
"L011",8.605349123,2026,2026
"L061",8.626748712,2019,2019
"L022",8.656799402,2024,2024
"L052",8.745520685,2027,2027
"L010",8.793926372,2023,2023
"L001",8.84161183,2023,2023
"L005",8.848722153,2023,2023
"L089",8.852937164,2016,2016
"L066",8.856208539,2019,2019
"L025",8.884146636,2026,2026
"L058",8.885170822,2018,2018
"L098",8.896371523,2019,2019
"L057",8.902703651,2017,2017
"L024",8.90876446,2024,2024
"L071",8.917761798,2019,2019
"L062",8.938701657,2020,2020
"L042",8.960405371,2026,2026
"L021",8.971684139,2024,2024
"L048",8.996948213,2026,2026
"L045",9.006187349,2027,2027
"L041",9.007511309,2026,2026
"L017",9.013454065,2024,2024
"L029",9.034074506,2026,2026
"L070",9.075291693,2019,2019
"L008",9.076017209,2023,2023
"L018",9.079602403,2024,2024
"L019",9.080784738,2023,2023
"L086",9.081808766,2013,2013
"L090",9.083301628,2016,2016
"L046",9.097866917,2027,2027
"L094",9.099063747,2017,2017
"L002",9.121636391,2025,2025
"L091",9.129513232,2016,2016
"L047",9.135880718,2026,2026
"L033",9.145179938,2026,2026
"L065",9.167719723,2019,2019
"L079",9.191902701,2008,2008
"L043",9.211587869,2026,2026
"L059",9.218979733,2018,2018
"L051",9.234491073,2027,2027
"L080",9.236524625,2009,2009
"L100",9.238612311,2019,2019
"L003",9.249114388,2023,2023
"L055",9.26169994,2014,2014
"L037",9.269611366,2026,2026
"L056",9.316307323,2016,2016
"L076",9.32272115,2014,2014
"L096",9.326334923,2020,2020
"L040",9.338379953,2026,2026
"L044",9.347746443,2026,2026
"L060",9.350235394,2018,2018
"L095",9.359586385,2020,2020
"L050",9.379424695,2027,2027
"L099",9.38747937,2019,2019
"L014",9.396427047,2025,2025
"L063",9.400312267,2019,2019
"L083",9.410981536,2010,2010
"L015",9.417293198,2024,2024
"L023",9.417768964,2026,2026
"L031",9.427431312,2026,2026
"L053",9.447438584,2027,2027
"L016",9.451846139,2025,2025
"L067",9.476533079,2019,2019
"L085",9.488176047,2014,2014
"L087",9.493387336,2013,2013
"L036",9.522621959,2026,2026
"L069",9.531225348,2019,2019
"L035",9.535860264,2026,2026
"L034",9.538828298,2026,2026
"L064",9.552834061,2019,2019
"L028",9.553687911,2025,2025
"L032",9.560193517,2026,2026
"L077",9.579725964,2007,2007
"L082",9.581557767,2009,2009
"L027",9.60768637,2026,2026
"L038",9.670001539,2026,2026
"L039",9.701352078,2026,2026
"L075",9.707161852,2006,2006
"L009",9.731297762,2023,2023
"L054",9.76272954,2027,2027
"L078",9.820673428,2008,2008
"L074",9.897175345,2006,2006
"L088",9.972099543,2007,2007
"L081",9.976741555,2008,2008
"L073",9.983591187,2006,2006
"L092",9.993982065,2017,2017
"L072",10.26529444,2019,2019
