"trait","env","H2_SpATS","sigma2g_SpATS","H2_GIBD","sigma2g_GIBD","delta_H2","BLUP_rho_Spearman","best_model"
"DTE","Clavet.2024",0,0.0042,0.795,0.0118,-0.795,0.534,"GIBD"
"DTE","Hunter.2024",0.162,0.0156,0.865,0.0334,-0.703,0.883,"GIBD"
"DTE","Clavet.2025",0.803,0.0441,0.912,0.0503,-0.109,0.963,"GIBD"
"DTE","Hunter.2025",0,0.0037,0.666,0.0045,-0.666,0.988,"GIBD"
"DTF","Clavet.2024",0.985,1.2793,0.992,1.3049,-0.008,0.997,"SpATS"
"DTF","Hunter.2024",0.983,3.5284,0.991,3.5321,-0.009,0.999,"SpATS"
"DTF","Clavet.2025",0.985,3.1505,0.992,3.1985,-0.007,0.995,"SpATS"
"DTF","Hunter.2025",0.958,2.0293,0.977,2.0365,-0.019,0.998,"SpATS"
"VegP","Clavet.2024",0.979,1.2211,0.989,1.2167,-0.01,0.998,"SpATS"
"VegP","Hunter.2024",0.979,3.6854,0.989,3.6946,-0.01,0.993,"SpATS"
"VegP","Clavet.2025",0.982,3.0947,0.991,3.1816,-0.008,0.994,"SpATS"
"VegP","Hunter.2025",0.955,1.987,0.975,1.9962,-0.02,0.998,"GIBD"
"DTM","Clavet.2024",0.961,3.2996,0.979,3.4117,-0.019,0.993,"SpATS"
"DTM","Hunter.2024",0.915,3.6284,0.955,3.6441,-0.04,0.984,"GIBD"
"DTM","Clavet.2025",0,0,0.798,0.2197,-0.798,0.59,"GIBD"
"DTM","Hunter.2025",0.84,2.3017,0.932,2.4049,-0.092,0.979,"GIBD"
"RepP","Clavet.2024",0.939,2.3084,0.969,2.3385,-0.029,0.994,"GIBD"
"RepP","Hunter.2024",0.917,3.8552,0.955,3.8976,-0.037,0.986,"GIBD"
"RepP","Clavet.2025",0,2.9271,0.95,2.7136,-0.95,0.956,"GIBD"
"RepP","Hunter.2025",0.687,1.3692,0.872,1.3758,-0.185,0.975,"GIBD"
"lodging","Clavet.2024",0.982,0.9626,0.991,0.9703,-0.009,0.999,"SpATS"
"lodging","Hunter.2024",0.952,0.3313,0.977,0.3482,-0.025,0.995,"GIBD"
"lodging","Clavet.2025",0.951,0.4594,0.972,0.4688,-0.021,0.989,"GIBD"
"lodging","Hunter.2025",0.943,0.3708,0.972,0.3719,-0.029,0.997,"GIBD"
"YLD","Clavet.2024",0.973,16378.3874,0.985,16264.518,-0.013,0.996,"SpATS"
"YLD","Hunter.2024",0.949,17000.7375,0.965,16385.5128,-0.017,0.984,"SpATS"
"YLD","Clavet.2025",0.943,25156.8577,0.97,25958.673,-0.026,0.99,"GIBD"
"YLD","Hunter.2025",0.951,45968.0321,0.976,47176.4581,-0.025,0.993,"GIBD"
"PRT","Clavet.2024",0.985,0.6788,0.992,0.6833,-0.007,0.998,"SpATS"
"PRT","Hunter.2024",0.98,0.6595,0.99,0.6704,-0.009,0.997,"SpATS"
"PRT","Clavet.2025",0.982,0.9802,0.99,0.9723,-0.008,0.998,"SpATS"
"PRT","Hunter.2025",0.969,1.1776,0.986,1.1941,-0.017,0.995,"SpATS"
"DS","Clavet.2024",0.537,0.0442,0.847,0.0572,-0.311,0.965,"GIBD"
"DS","Hunter.2024",0.914,0.3143,0.963,0.3182,-0.048,0.991,"GIBD"
"DS","Clavet.2025",0.816,0.0814,0.899,0.0801,-0.083,0.973,"GIBD"
"DS","Hunter.2025",0,0.0045,0.63,0.0032,-0.63,0.801,"GIBD"
