"trait","stability_index","rho","p_val"
"DTF","WAASB",-0.283,0.0043
"DTF","ASV",-0.284,0.0042
"DTF","Wi_g",0.361,2e-04
"DTF","Pi_a",-0.324,0.001
"VegP","WAASB",-0.319,0.0012
"VegP","ASV",-0.307,0.0019
"VegP","Wi_g",0.392,1e-04
"VegP","Pi_a",-0.328,9e-04
"DTM","WAASB",0.023,0.8205
"DTM","ASV",0.131,0.1929
"DTM","Wi_g",0.117,0.247
"DTM","Pi_a",-0.102,0.3136
"lodging","WAASB",-0.17,0.0915
"lodging","ASV",-0.146,0.1481
"lodging","Wi_g",-0.076,0.4537
"lodging","Pi_a",0.137,0.1729
"YLD","WAASB",-0.046,0.6503
"YLD","ASV",-0.058,0.568
"YLD","Wi_g",0.313,0.0015
"YLD","Pi_a",-0.362,2e-04
"PRT","WAASB",-0.013,0.8965
"PRT","ASV",0.029,0.7713
"PRT","Wi_g",-0.061,0.5451
"PRT","Pi_a",0.099,0.3295
"DTE","WAASB",-0.072,0.4765
"DTE","ASV",-0.055,0.5901
"DTE","Wi_g",0.021,0.8366
"DTE","Pi_a",0.004,0.9686
"RepP","WAASB",-0.237,0.0177
"RepP","ASV",-0.057,0.5717
"RepP","Wi_g",-0.011,0.9128
"RepP","Pi_a",0.154,0.1259
